driver_number,broadcast_name,country_code_x,year,session_name,date_start,time_start,date_end,time_end,gmt_offset,starting_position,wins_before,pit_stops_count,avg_pit_stop_duration,qualifying_position_y,num_stints,used_soft,used_medium,used_hard,num_red_flags,num_safety_car_deployed,num_yellow_flags,num_double_yellow_flags,penalty_seconds,air_temp_mean,track_temp_mean,humidity_mean,pressure_mean,is_rainfall,wind_speed_mean,final_position
1,M VERSTAPPEN,NED,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,15,1,0,0.0,1,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,2
2,L SARGEANT,USA,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,20,0,0,0.0,16,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,16
4,L NORRIS,GBR,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,19,0,0,0.0,7,3,1,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,17
10,P GASLY,FRA,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,9,0,0,0.0,9,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,9
11,S PEREZ,MEX,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,1,0,0,0.0,2,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,1
14,F ALONSO,ESP,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,2,0,0,0.0,3,2,0,1,1,0,1,3,2,15,26.09,31.79,57.79,1010.93,0,1.77,3
16,C LECLERC,MON,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,12,0,0,0.0,6,2,1,0,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,7
18,L STROLL,CAN,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,5,0,0,0.0,4,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,20
20,K MAGNUSSEN,DEN,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,13,0,0,0.0,17,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,10
21,N DE VRIES,NED,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,18,0,0,0.0,20,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,14
22,Y TSUNODA,JPN,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,16,0,0,0.0,19,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,11
23,A ALBON,THA,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,17,0,0,0.0,15,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,19
24,G ZHOU,CHN,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,11,0,0,0.0,12,3,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,13
27,N HULKENBERG,GER,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,10,0,0,0.0,13,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,12
31,E OCON,FRA,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,6,0,0,0.0,14,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,8
44,L HAMILTON,GBR,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,7,0,0,0.0,5,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,5
55,C SAINZ,ESP,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,4,0,0,0.0,10,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,6
63,G RUSSELL,GBR,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,3,0,0,0.0,11,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,4
77,V BOTTAS,FIN,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,14,0,0,0.0,18,4,1,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,18
81,O PIASTRI,AUS,2023,Race,2023-03-19,17:00:00,2023-03-19,19:00:00,03:00:00,8,0,0,0.0,8,2,0,1,1,0,1,3,2,0,26.09,31.79,57.79,1010.93,0,1.77,15
1,M VERSTAPPEN,NED,2023,Race,2023-04-02,05:00:00,2023-04-02,07:00:00,10:00:00,1,1,0,0.0,1,4,1,1,1,4,4,8,4,0,17.45,30.14,54.16,1018.37,0,1.13,1
2,L SARGEANT,USA,2023,Race,2023-04-02,05:00:00,2023-04-02,07:00:00,10:00:00,18,0,0,0.0,17,7,1,1,1,4,4,8,4,0,17.45,30.14,54.16,1018.37,0,1.13,16
4,L NORRIS,GBR,2023,Race,2023-04-02,05:00:00,2023-04-02,07:00:00,10:00:00,13,0,0,0.0,20,4,1,1,1,4,4,8,4,0,17.45,30.14,54.16,1018.37,0,1.13,6
10,P GASLY,FRA,2023,Race,2023-04-02,05:00:00,2023-04-02,07:00:00,10:00:00,9,0,0,0.0,5,3,1,0,1,4,4,8,4,0,17.45,30.14,54.16,1018.37,0,1.13,13
